VCF_ID,NCBI_SRA_Accesion
BP_BA_1667,SRR7236023
BP_VI_1839,SRR7236038
C_BE_13797,SRR7236034
C_BE_13827,SRR7236033
C_BE_13837,SRR7236028
C_BE_8867,SRR7236027
C_CU_13901,SRR7236030
C_CU_13903,SRR7236029
C_CU_13905,SRR7236037
C_CU_13925,SRR7235996
C_FL_4923,SRR7235994
C_FL_4927,SRR7235993
C_FL_4959,SRR7235991
C_FL_4960,SRR7235990
C_VI_13696,SRR7235989
C_VI_13712,SRR7235999
C_VI_13714,SRR7235998
C_VI_13758,SRR7236022
H_BE_13778,SRR7236035
H_BE_13782,SRR12363335
H_BE_13807,SRR7236006
H_BE_13821,SRR12363334
H_BE_13823,SRR12363329
H_BE_13833,SRR12363328
H_BE_6779,SRR7236013
P_CU_14472,SRR12363332
H_FL_1302,SRR7236024
H_VI_13704,SRR12363326
H_VI_13706,SRR12363325
H_VI_13736,SRR12363323
H_VI_13762,SRR12363333
H_VI_13764,SRR7235997
H_VI_1834,SRR7235978
H_VI_1835,SRR7235977
H_VI_1837,SRR7236000
P_BE_13819,SRR7236015
P_BE_5993,SRR7236016
P_CU_13919,SRR7235988
P_CU_13933,SRR7235987
P_CU_3070,SRR7235981
P_CU_3071,SRR7235984
P_FL_1037,SRR7235980
P_FL_2655,SRR7235979
P_FL_2699,SRR7236011
P_FL_5524,SRR7236012
P_FL_6895,SRR7236001
C_BE_13792,SRR7236031
